product_id,name,category_id,brand,price,stock_quantity
72,Jeans,21,Levi's,474.07,899
73,Jeans,15,Nike,361.73,414
74,Jacket,15,H&M,240.43,566
75,Exclusive optimal leverage,23,Christensen Inc,110.1,412
76,Multi-lateral incremental firmware,17,Ashley-Warren,80.14,697
77,Diverse leadingedge functionalities,24,"Jackson, King and Bradford",248.64,579
78,T-Shirt,20,Levi's,9.78,360
79,Self-enabling intermediate array,6,"Rowe, Kelley and Kim",54.35,145
80,Laptop Ultra,14,Samsung,189.77,615
81,Dress,2,Adidas,331.57,721
82,Cross-group leadingedge approach,16,Sanders LLC,338.98,618
83,Cross-group demand-driven methodology,11,Moore Inc,469.15,303
84,Universal homogeneous complexity,26,Hess Ltd,411.39,138
85,Persistent leadingedge hierarchy,4,"Romero, Payne and Hernandez",274.08,93
86,Expanded 24hour architecture,25,"Smith, Daniel and Daugherty",245.24,781
87,Adaptive bandwidth-monitored migration,3,"Lee, Bolton and Adams",164.55,765
88,Organized bottom-line installation,11,"Burton, Hooper and Taylor",89.63,247
89,Synergized well-modulated groupware,8,"Calhoun, Morris and Martinez",60.27,101
90,Laptop Pro,1,Sony,338.84,6
91,Self-enabling solution-oriented Graphical User Interface,22,Powers-Wilson,341.42,71
92,Headphones Max,14,Samsung,74.22,561
93,De-engineered discrete encoding,16,Osborn Group,99.6,454
94,Devolved encompassing matrix,16,Baker-Davis,358.14,653
95,Configurable radical approach,22,Smith LLC,256.9,66
96,TV,14,Sony,454.36,300
97,Optimized zero tolerance installation,18,Johnson LLC,48.13,805
98,Pre-emptive multi-tasking pricing structure,24,"Terry, Bryant and Campbell",57.33,478
99,Triple-buffered high-level access,19,Rogers and Sons,409.12,121
100,Smartphone Max,14,Samsung,422.34,798
101,Up-sized empowering groupware,16,Thomas PLC,50.02,468
102,Jeans,15,Nike,365.35,884
103,Focused responsive superstructure,17,Yang-Bauer,17.87,9
104,Jeans,2,Adidas,267.76,747
105,Multi-channeled user-facing implementation,17,"Webb, White and Solis",357.74,747
106,Horizontal fresh-thinking software,10,White-Allen,133.55,694
107,Virtual logistical Internet solution,27,Martin PLC,423.92,200
108,Automated hybrid core,11,"Kelly, Vargas and Guzman",412.19,853
109,Realigned demand-driven middleware,25,"Salazar, Chavez and Manning",372.97,6
110,Focused dedicated concept,24,Vasquez and Sons,414.06,585
111,Laptop Pro,1,Samsung,367.84,740
112,Visionary interactive migration,18,"Pratt, Alvarez and Sellers",395.07,12
113,Laptop Max,1,Samsung,418.9,920
114,Customizable stable orchestration,8,"Christian, Vaughn and Baker",292.49,337
115,Adaptive well-modulated budgetary management,17,"Turner, Reid and Burns",72.36,64
116,Jacket,15,H&M,237.78,918
117,Visionary well-modulated moratorium,10,Maldonado-Taylor,225.6,811
118,Dress,21,H&M,374.6,366
119,Customer-focused intangible methodology,24,Woods-Reyes,156.38,702
120,Compatible mission-critical portal,24,Villa-Reid,461.65,238
121,Multi-channeled uniform system engine,26,Yates Group,282.29,617
122,Versatile hybrid database,6,Rocha-Martin,62.11,95
123,Down-sized zero-defect extranet,28,"Price, Gonzalez and James",486.18,506
124,Optional web-enabled groupware,12,Ramirez Inc,105.07,830
125,Expanded reciprocal throughput,6,Rodriguez LLC,383.67,289
126,Monitored 6thgeneration software,16,"Cochran, Shepard and Best",121.21,579
127,Jeans,20,Adidas,123.66,81
128,T-Shirt,20,H&M,47.46,664
129,Persistent bandwidth-monitored focus group,16,"Barrett, Moran and Duran",486.26,671
130,Pre-emptive empowering definition,27,Foster-Stanley,273.36,696
131,User-friendly directional budgetary management,23,Robinson Ltd,163.82,511
132,Persistent mission-critical architecture,10,Richmond LLC,191.19,29
133,Multi-channeled multi-state synergy,28,Patterson and Sons,67.03,692
134,Innovative dynamic Graphic Interface,24,"Bush, Garcia and Reed",347.7,916
135,Assimilated homogeneous attitude,22,Baker PLC,252.07,897
136,Decentralized client-driven Local Area Network,22,Preston-Bennett,421.25,170
137,Reverse-engineered 24/7 customer loyalty,19,"Newman, Wood and Bryant",493.87,682
138,Synchronized disintermediate throughput,6,Hunt-Nelson,287.64,59
139,Focused optimizing synergy,6,"Price, Aguilar and Stewart",381.19,728
140,Implemented hybrid analyzer,28,Santos-Calhoun,168.71,749
141,Dress,2,Adidas,182.3,528
142,T-Shirt,2,H&M,30.25,116
143,Stand-alone tangible migration,12,Warner LLC,103.97,111
144,Realigned web-enabled secured line,10,"Carroll, Becker and Davis",473.69,441
145,Sharable modular installation,23,Jones-Martin,273.01,146
146,De-engineered discrete algorithm,27,Luna Inc,114.6,295
147,Upgradable object-oriented product,8,Bishop-Price,147.6,273
148,Grass-roots bottom-line system engine,9,"Gonzalez, Williams and Coleman",182.19,425
149,Cloned exuding collaboration,4,Andrade-Hall,157.05,89
150,Expanded human-resource open architecture,22,Roth Group,309.79,453
151,Focused value-added database,12,Obrien-Brooks,14.52,773
152,Smartphone Max,14,Samsung,260.28,535
153,Grass-roots 24hour policy,3,"Guerra, Adams and Spencer",278.39,348
154,Profit-focused transitional adapter,16,Long PLC,429.66,649
155,Down-sized interactive benchmark,5,Mendoza-Torres,353.5,560
156,Front-line cohesive software,26,"Esparza, Rogers and Mendez",113.73,819
157,Expanded systemic access,6,Hayes-Hudson,75.67,10
158,Open-architected 5thgeneration emulation,23,"West, Bryan and Henderson",100.06,352
159,Business-focused fresh-thinking website,25,Sharp-Morrow,421.64,358
160,Dress,15,H&M,441.54,691
161,Managed actuating capability,8,"Rose, Torres and Wilson",353.47,141
162,Triple-buffered non-volatile application,9,"Moore, Robinson and Edwards",254.88,724
163,Smartphone Ultra,1,LG,33.98,901
164,Ameliorated didactic standardization,3,Knox PLC,494.57,874
165,T-Shirt,15,Levi's,493.5,279
166,Devolved upward-trending installation,3,Donaldson Inc,52.15,901
167,Focused 24/7 emulation,25,"Pollard, Martin and Johnson",110.33,185
168,Customer-focused multi-tasking forecast,24,"Lee, Stone and Cox",409.41,925
169,Dress,21,Adidas,226.61,878
170,Streamlined upward-trending workforce,3,"Hunt, Carpenter and Carlson",177.97,986
171,Centralized real-time functionalities,16,"Gonzalez, Moore and Oneill",331.54,432
172,Smartphone Ultra,1,Apple,13.06,826
173,Multi-tiered mobile focus group,24,"Black, Thomas and Kerr",254.46,949
174,Versatile neutral groupware,25,Weber LLC,224.99,978
175,Smartphone,1,Sony,470.48,268
176,Cloned human-resource model,4,"Scott, Flowers and Carrillo",492.04,718
177,Profound tertiary contingency,24,"Carpenter, Anderson and Lee",221.64,87
178,Smartphone Max,1,Samsung,218.09,542
179,Cloned asynchronous toolset,28,Sanders PLC,215.58,49
180,T-Shirt,21,Levi's,292.66,361
181,Cross-group dynamic time-frame,12,Stewart-Shaw,100.01,296
182,Progressive encompassing solution,18,"Gibson, James and Mayer",94.69,640
183,Polarized motivating orchestration,17,"Luna, Hancock and Huffman",270.01,298
184,Distributed multi-state toolset,17,Austin-Leonard,424.55,218
185,Upgradable optimal capability,5,"Smith, Ruiz and Wade",266.55,569
186,Cloned global matrix,27,Vasquez-Barnes,412.67,756
187,Horizontal logistical paradigm,4,Strong Ltd,30.17,854
188,Stand-alone dedicated process improvement,24,Beasley and Sons,15.92,856
189,TV Pro,1,LG,346.35,468
190,Ergonomic static complexity,24,Lane-Harris,410.96,900
191,Realigned uniform frame,6,"Potter, Villarreal and Lopez",56.34,88
192,Innovative 3rdgeneration approach,12,Alvarez-Sexton,352.56,63
193,Jacket,15,Adidas,196.75,685
194,Synergistic context-sensitive ability,7,Cohen-Stark,385.72,19
195,Front-line systemic time-frame,11,Torres-Gamble,14.5,17
196,T-Shirt,2,H&M,120.17,14
197,Programmable fresh-thinking Graphic Interface,28,Thomas and Sons,236.06,536
198,Programmable empowering matrix,13,"Fitzgerald, Brown and Cobb",436.62,369
199,Fully-configurable real-time workforce,22,"Rodriguez, White and Anthony",51.47,210
200,Reactive radical interface,28,Rubio-Jones,287.14,496
201,Monitored optimizing matrices,22,Baker and Sons,76.89,192
202,Vision-oriented 24/7 ability,23,Schwartz Inc,217.27,173
203,Jeans,2,Adidas,359.11,562
204,Face-to-face secondary open architecture,4,"Cole, Taylor and Mueller",164.62,5
205,Universal intermediate budgetary management,23,Heath LLC,101.49,194
206,Headphones,1,Sony,25.69,862
207,Expanded explicit moderator,28,Randolph PLC,150.94,542
208,Jacket,15,Levi's,110.32,951
209,Horizontal tangible policy,26,Graham LLC,142.67,505
210,Exclusive fresh-thinking superstructure,22,"Carson, Mathis and Johnson",415.16,208
211,Phased mission-critical capability,13,"Chapman, Price and Pittman",239.32,203
212,Realigned 5thgeneration productivity,25,Obrien-Armstrong,95.1,151
213,Smartphone Ultra,14,Sony,57.99,871
214,Synergistic disintermediate artificial intelligence,7,Edwards-Preston,129.06,553
215,Networked optimal leverage,8,"Freeman, Hull and Holder",277.63,860
216,T-Shirt,15,Adidas,200.47,577
217,Reactive scalable middleware,18,Ellis PLC,257.3,345
218,Innovative zero administration initiative,6,Holloway LLC,266.94,985
219,Distributed bottom-line productivity,4,Reyes PLC,65.47,890
220,Dress,20,Levi's,296.07,663
221,Pre-emptive 4thgeneration application,7,"Flores, Dalton and Johnson",121.59,643
222,TV,14,Apple,186.54,997
223,Jacket,2,Adidas,342.76,712
224,Synergistic human-resource info-mediaries,27,"Shields, Saunders and Lopez",24.36,510
225,Stand-alone solution-oriented interface,10,"Mccoy, Doyle and Ray",373.67,546
226,Jeans,21,H&M,436.22,808
227,Dress,2,Adidas,55.03,464
228,Progressive system-worthy challenge,24,Blackwell Group,343.23,462
229,Centralized global attitude,25,Lee PLC,373.95,504
230,Jeans,21,H&M,305.15,349
231,Ameliorated fresh-thinking forecast,10,Robinson PLC,87.64,241
232,Multi-lateral context-sensitive access,19,"Williams, Wise and Hill",237.73,925
233,Enterprise-wide full-range implementation,9,Schaefer-Clark,140.2,664
234,Jacket,21,H&M,151.74,410
235,Face-to-face bottom-line process improvement,23,"Richardson, Nguyen and Watts",13.27,728
236,Grass-roots systematic emulation,11,"Farrell, Jones and Martinez",108.93,44
237,T-Shirt,15,H&M,375.42,926
238,Open-source explicit orchestration,24,"Harris, Williams and Moreno",88.19,251
239,Digitized uniform policy,13,"Alvarado, Wood and Stephens",117.83,686
240,Dress,2,Adidas,68.17,602
241,Jeans,15,Levi's,383.74,275
242,Laptop Max,14,LG,9.61,531
243,Organic client-server interface,28,Ortiz Group,449.23,947
244,Cross-platform foreground time-frame,27,Spencer-Peterson,206.38,40
245,User-friendly bifurcated knowledge user,12,Cohen PLC,334.05,796
246,Fundamental zero administration matrix,13,"Hernandez, Watts and Williams",287.54,246
247,Devolved well-modulated interface,16,Nelson and Sons,239.9,146
248,Down-sized high-level info-mediaries,6,Perkins-Reynolds,405.01,123
249,Assimilated web-enabled contingency,10,Rodriguez-Johnson,336.11,360
250,Balanced multi-state artificial intelligence,13,Fernandez and Sons,324.01,903
251,Up-sized needs-based instruction set,3,Acevedo-Johnson,324.44,366
252,Integrated dynamic open architecture,28,Parker-Daniels,85.86,630
253,Profit-focused high-level hierarchy,7,Gomez-Bond,269.12,411
254,Sharable user-facing Graphic Interface,17,Kim-Ross,309.34,289
255,Future-proofed methodical policy,18,"Guerrero, Mack and Roy",137.86,187
256,Distributed tertiary attitude,5,"Ford, Lopez and Campbell",242.99,670
257,Customer-focused grid-enabled model,9,"Stuart, Sanchez and Tucker",449.5,758
258,Open-source incremental support,25,Cooper and Sons,499.2,963
259,Multi-tiered content-based task-force,12,"Wolfe, Knight and Washington",121.97,922
260,Jeans,15,Nike,481.33,470
261,Fully-configurable system-worthy matrices,26,Kim Ltd,276.53,365
262,Smartphone Pro,1,Apple,21.36,242
263,Jacket,20,Levi's,403.67,388
264,Diverse tangible complexity,26,Stark-Hoffman,198.92,945
265,Advanced zero tolerance success,5,Baker LLC,401.46,240
266,Cloned cohesive website,25,Combs Group,462.4,74
267,Diverse local interface,18,Johnson-Lynch,416.62,86
268,Cross-group intermediate forecast,17,"Williams, Johnson and Smith",127.72,256
269,TV Ultra,1,LG,292.74,434
270,Intuitive user-facing protocol,13,Guzman-Clark,201.18,240
271,Laptop Pro,1,Samsung,406.47,319
272,Customizable leadingedge data-warehouse,12,Taylor-Stanley,60.8,154
273,Open-source tertiary algorithm,8,Bray Ltd,178.48,598
274,Dress,21,Nike,89.33,118
275,Function-based neutral project,12,Novak-Davis,382.14,204
276,Extended tangible process improvement,22,Becker Ltd,411.98,721
277,TV Pro,14,Sony,137.6,232
278,Networked grid-enabled task-force,5,Silva-Chung,84.38,733
279,Networked non-volatile benchmark,26,"Compton, Burke and Jefferson",336.16,676
280,Inverse logistical open system,25,Simon PLC,161.87,967
281,Front-line bottom-line installation,28,Bryant-Petty,309.5,76
282,Profit-focused fault-tolerant flexibility,11,Schwartz Ltd,399.37,750
283,Horizontal mission-critical functionalities,19,"Deleon, Riggs and Collins",412.52,47
284,Fully-configurable intangible toolset,7,King-Esparza,408.85,71
285,Reactive tangible project,26,Shelton PLC,360.55,132
286,Operative intangible ability,18,Nelson-Johnson,492.61,569
287,Switchable systematic help-desk,26,Pierce-Garner,492.93,639
288,Object-based reciprocal groupware,6,Simmons-Sampson,417.96,54
289,Smartphone Max,14,LG,191.16,82
290,T-Shirt,2,Nike,270.64,68
291,Decentralized client-server model,16,Thomas Ltd,446.59,578
292,Innovative multi-tasking paradigm,9,"Davis, Johnson and Hill",246.14,896
293,Smartphone,1,LG,331.62,550
294,TV Pro,14,LG,236.07,446
295,Mandatory neutral emulation,25,Figueroa-Bryant,137.0,259
296,Down-sized composite initiative,11,Reyes-Peterson,17.68,594
297,Customer-focused demand-driven toolset,19,Turner-Thomas,481.21,743
298,Networked actuating open system,5,"Heath, Middleton and Carter",454.27,992
299,Open-architected impactful matrices,24,Aguilar and Sons,476.15,159
300,Profound web-enabled adapter,24,Patterson Inc,87.02,502
301,Operative multimedia installation,10,Rhodes LLC,364.93,617
302,Polarized real-time complexity,19,Morales Group,252.95,462
303,Customizable composite analyzer,18,Howell Inc,118.84,454
304,Seamless multimedia methodology,22,"Tapia, Patton and Boyd",406.01,954
305,Configurable contextually-based functionalities,17,Reed-Benton,487.34,823
306,Reduced real-time structure,10,Ryan PLC,359.98,453
307,Enterprise-wide logistical synergy,5,Green Group,19.77,287
308,Customer-focused multi-state installation,16,Conway-Hicks,168.83,248
309,Centralized logistical approach,16,Wallace-Carrillo,363.45,598
310,Right-sized foreground model,22,Mendoza-Harris,378.9,978
311,Laptop,14,Sony,25.52,173
312,Extended directional database,24,Bowman LLC,179.21,944
313,Cross-group bi-directional hierarchy,3,Woodard PLC,104.61,668
314,Cloned mobile Internet solution,13,Campbell-Simmons,56.84,577
315,Stand-alone 24hour hierarchy,23,Moore Inc,498.64,23
316,Universal multimedia utilization,3,Gordon-Clark,58.19,953
317,Jeans,2,Adidas,104.3,512
318,Polarized heuristic challenge,28,"Gregory, Clark and Sloan",353.95,634
319,Exclusive directional alliance,18,Cameron-Smith,365.25,563
320,Integrated asynchronous matrix,11,"Robinson, Johnson and Miller",187.45,56
321,T-Shirt,2,Adidas,149.55,988
322,Versatile holistic database,11,Gillespie-Murray,391.57,762
323,Expanded regional challenge,17,"Johnson, Lopez and Ramos",220.75,193
324,Jeans,20,H&M,88.25,450
325,Jacket,15,Nike,44.01,20
326,Customer-focused optimal array,22,"Smith, Gomez and Hayes",425.99,788
327,Multi-lateral grid-enabled collaboration,23,Cox-Ball,310.95,720
328,Ameliorated regional contingency,13,Martinez-White,193.04,515
329,Innovative 4thgeneration synergy,17,Matthews Inc,312.73,611
330,Proactive explicit project,4,"Young, Castillo and Crane",113.31,913
331,Right-sized zero administration moratorium,13,Anderson-Kaufman,277.55,433
332,Jacket,2,Levi's,253.33,476
333,Advanced zero tolerance encryption,6,Reyes Inc,162.6,363
334,Expanded hybrid hub,18,"Reed, Bailey and Stein",78.81,622
335,Progressive attitude-oriented function,13,Ward and Sons,92.01,983
336,Reverse-engineered high-level capacity,26,"Soto, Carey and Alexander",271.85,307
337,Focused fault-tolerant pricing structure,11,Ellis-Harris,25.17,311
338,Realigned composite focus group,3,Hamilton Inc,137.27,468
339,Dress,21,Adidas,181.77,850
340,Polarized logistical extranet,3,"Sutton, Newman and Sweeney",258.89,959
341,Focused empowering paradigm,9,"Fisher, Reed and Mcdonald",493.55,274
342,Realigned non-volatile encoding,4,Moore-Day,157.43,410
343,Re-engineered encompassing circuit,8,James-Cardenas,350.36,44
344,Compatible analyzing time-frame,28,"Rivas, Molina and Ward",345.61,774
345,Jacket,20,Nike,30.57,468
346,Optimized dedicated info-mediaries,27,Hill-Rodgers,278.87,362
347,Enterprise-wide multi-tasking knowledge user,5,Jones Group,262.02,510
348,Implemented tertiary strategy,4,Baker-Smith,464.76,351
349,Jacket,2,Adidas,185.14,61
350,Jeans,2,Levi's,52.28,973
351,Smartphone Ultra,14,Sony,69.98,360
352,Face-to-face needs-based secured line,26,Watkins-Edwards,463.59,913
353,Object-based next generation pricing structure,22,Gross Group,72.25,787
354,Focused disintermediate capability,9,Sims-Lowe,156.12,496
355,Fully-configurable zero-defect product,24,Simmons Group,81.91,285
356,Distributed multi-tasking implementation,23,Rivera-Stewart,445.72,18
357,T-Shirt,15,Adidas,466.71,963
358,Quality-focused transitional parallelism,26,Miller-Brock,98.29,163
359,Balanced foreground core,3,James Ltd,336.03,145
360,Automated value-added collaboration,7,Johnson-Jones,41.76,775
361,Customer-focused optimizing matrices,27,Li LLC,255.96,52
362,Centralized 24/7 access,17,Martinez LLC,426.67,606
363,Jacket,15,Levi's,420.72,537
364,Enhanced context-sensitive info-mediaries,16,"Cole, Garner and Miller",297.46,183
365,Monitored optimal extranet,28,"Miller, Thornton and Brown",347.61,866
366,Polarized stable collaboration,26,Garcia PLC,416.58,834
367,Re-engineered system-worthy orchestration,17,Price Inc,256.09,596
368,Phased even-keeled Graphical User Interface,24,"Reynolds, Sawyer and Dalton",98.5,633
369,Pre-emptive well-modulated Internet solution,22,Avila Inc,178.98,19
370,Synergized real-time website,8,Levy-Shepherd,193.23,169
371,Smartphone,1,LG,450.19,859
372,Extended encompassing throughput,8,"Lane, Merritt and Crawford",340.08,55
373,Monitored eco-centric budgetary management,28,Carter-Herrera,122.74,33
374,Centralized demand-driven Internet solution,10,Reynolds and Sons,333.72,53
375,Object-based heuristic moratorium,8,Anderson LLC,268.42,440
376,Managed value-added hardware,3,"Hodges, Werner and Gilbert",400.56,918
377,Dress,21,Nike,111.44,548
378,Versatile zero administration parallelism,28,Cohen Inc,196.32,16
379,Customer-focused modular knowledge user,7,Stewart Group,357.54,153
380,Reactive eco-centric Graphical User Interface,4,Dickson-Williams,490.26,455
381,Switchable 6thgeneration Local Area Network,16,Graham LLC,241.25,487
382,Synergized mobile encryption,17,"Glover, Long and Warren",153.11,994
383,Headphones Pro,1,LG,22.46,646
384,Profound zero-defect adapter,8,Franklin Inc,430.53,280
385,Future-proofed 5thgeneration instruction set,18,"Ramirez, Allen and Rivas",53.06,803
386,Customer-focused exuding moderator,3,Gates and Sons,101.23,598
387,Inverse object-oriented hub,12,Garcia-Anderson,32.55,644
388,Optional national infrastructure,12,Davidson Ltd,280.15,330
389,Persevering logistical Local Area Network,28,Rhodes LLC,412.58,175
390,Managed fault-tolerant groupware,6,Yates-Key,171.78,433
391,Down-sized fresh-thinking application,3,"Bowers, Taylor and Ward",315.75,888
392,Assimilated coherent installation,23,Martin LLC,444.19,845
393,Virtual mission-critical hub,9,Jones-Smith,364.19,177
394,Fully-configurable bottom-line interface,24,"Baker, Collier and Garcia",54.47,687
395,Open-source global approach,25,Johnston-Phillips,142.53,76
396,Polarized needs-based moratorium,22,"Lane, Alexander and Dawson",431.84,593
397,Persevering intermediate frame,11,Carter and Sons,410.55,663
398,Headphones Ultra,1,Apple,218.36,531
399,Smartphone Ultra,1,Apple,182.12,888
400,Inverse fault-tolerant workforce,12,Odom LLC,90.24,995
401,Balanced attitude-oriented concept,16,"Hall, Strickland and Moore",166.43,57
402,Customer-focused grid-enabled algorithm,6,"Guerra, Watson and Johnson",414.0,476
403,Configurable analyzing workforce,27,"Le, Farmer and Smith",89.15,319
404,Customer-focused bifurcated secured line,26,Shaw LLC,152.5,190
405,Optional responsive adapter,4,"Moore, Thompson and Phillips",417.51,962
406,Headphones Pro,1,Apple,308.1,628
407,Dress,21,Adidas,101.05,556
408,Face-to-face multi-state knowledgebase,11,Lyons-Brown,223.47,56
409,Compatible global superstructure,17,Bryant-Bauer,462.16,213
410,Profit-focused context-sensitive definition,18,Spence and Sons,31.52,689
411,Robust real-time orchestration,17,"Robles, Baker and Taylor",464.93,30
412,Universal zero tolerance analyzer,23,Johnson Group,369.83,253
413,Self-enabling responsive artificial intelligence,18,Reynolds-Love,46.18,664
414,Managed uniform installation,10,"Larsen, Stone and Potter",448.27,240
415,Object-based 6thgeneration architecture,16,Henson and Sons,454.94,235
416,Compatible non-volatile circuit,10,"Sanders, Neal and Howard",150.41,872
417,Multi-channeled bifurcated interface,6,Taylor-Green,91.83,248
418,Business-focused 24/7 analyzer,7,Knight-Ward,262.39,367
419,Jacket,20,Levi's,331.12,775
420,Headphones,1,Samsung,43.82,137
421,Robust 24/7 paradigm,17,Weber Group,190.71,710
422,Upgradable dedicated project,25,Thomas-Peterson,61.32,749
423,Balanced exuding flexibility,17,"Stokes, Ruiz and Soto",250.59,894
424,Cross-platform encompassing portal,11,Davis-Hendricks,428.01,277
425,Integrated hybrid definition,24,"Ferguson, Shaw and Robinson",246.09,28
426,Jeans,15,Adidas,123.37,413
427,Future-proofed motivating capability,22,Aguilar Ltd,77.0,163
428,Open-architected next generation open system,6,Parks Ltd,92.03,703
429,Synergized actuating definition,16,"Campos, Moore and Velasquez",177.98,220
430,Team-oriented grid-enabled frame,7,Dixon LLC,99.36,844
431,Assimilated background capacity,19,"Navarro, Smith and Larson",280.23,795
432,Jeans,2,H&M,85.77,600
433,Reactive homogeneous attitude,17,Jackson LLC,360.37,27
434,Public-key leadingedge architecture,23,"Evans, Adkins and Ewing",88.46,106
435,Enterprise-wide discrete capacity,10,Harper PLC,183.19,969
436,Optional static process improvement,7,Sullivan Ltd,220.17,720
437,Multi-channeled bi-directional open architecture,4,Gillespie-Holder,50.5,522
438,Digitized responsive approach,10,"Johnson, Sanchez and Pham",94.27,265
439,Devolved human-resource interface,17,Smith-Randall,61.03,682
440,Grass-roots responsive conglomeration,25,Rodriguez Inc,320.61,378
441,Cross-group asymmetric toolset,10,"Gregory, Parker and Campbell",245.01,174
442,Fully-configurable value-added framework,6,Jones Group,264.6,274
443,Multi-channeled background throughput,11,Gonzalez-Jones,117.56,625
444,Jeans,21,Levi's,36.5,327
445,Seamless logistical matrices,3,Martinez-Shaffer,435.43,68
446,Jacket,20,Nike,469.22,632
447,Pre-emptive disintermediate analyzer,3,Green-Gordon,279.75,970
448,Seamless zero administration core,9,Munoz-Stewart,123.23,723
449,Phased directional structure,13,Davis Group,184.31,591
450,User-centric eco-centric Graphic Interface,6,"Oneill, Anderson and Kent",325.89,653
451,Profound mission-critical groupware,12,Clark Ltd,300.04,767
452,Visionary fault-tolerant architecture,8,May Group,464.39,710
453,Future-proofed bi-directional complexity,26,"Smith, Gutierrez and Wood",104.67,727
454,Ameliorated solution-oriented interface,5,Myers-Medina,17.86,837
455,Fundamental zero administration strategy,24,Jackson Inc,103.72,583
456,Optimized methodical definition,17,Sellers LLC,347.52,491
457,Grass-roots radical toolset,4,Johnson Inc,177.54,90
